kernel,args,device_name,regs,shmem,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,gpu_name,compute_capability,sm_count,warp_size,max_threads_per_sm,max_blocks_per_sm,registers_per_sm,shared_mem_per_sm,peak_theoretical_gflops,peak_theoretical_gbps,sustained_compute_gflops,sustained_mem_bandwidth_gbps,gpu_l2_bytes,estimated_l2_bytes,T1_model_ms,speedup_model
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 100 --warmup 10 --reps 50,NVIDIA GeForce RTX 2080 Ti,7,0,256,1,1,4096,1,1,10,50,10,2.596471,0.005649,1048576,1,100,256,4096,0,838860800,0.000000,4,0,atomic_hotspot,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,49.622970,19.11
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,NVIDIA GeForce RTX 2080 Ti,30,0,16,16,1,64,64,1,10,50,10,0.028623,0.000421,1024,1024,0,256,4096,18874368,8388608,2.250000,8388608,0,stencil_3x3,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,8388608,0.496230,17.34
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,NVIDIA GeForce RTX 2080 Ti,40,0,16,16,1,64,64,1,10,50,10,0.115671,0.001098,1024,1024,0,256,4096,102760448,8388608,12.250000,8388608,0,stencil_7x7,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,8388608,0.496230,4.29
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,15,1024,256,1,1,4096,1,1,20,100,10,0.019150,0.000012,1048576,1,0,256,4096,2097152,8396800,0.249756,8388608,0,shared_reduction,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,8396800,0.496714,25.94
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,NVIDIA GeForce RTX 2080 Ti,10,1024,256,1,1,4096,1,1,10,50,10,0.066583,0.000034,1048576,1,0,256,4096,0,8388608,0.000000,1024,0,atomic_bins,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,8388608,0.496230,7.45
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,NVIDIA GeForce RTX 2080 Ti,40,0,16,16,1,32,32,1,10,50,10,0.309226,0.003761,512,512,0,256,1024,268435456,3145728,85.333333,3145728,0,dense_gemm,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,3145728,0.754648,2.44
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,NVIDIA GeForce RTX 2080 Ti,37,8192,32,32,1,16,16,1,10,50,10,0.184089,0.004429,512,512,0,1024,256,268435456,3145728,85.333333,3145728,0,dense_gemm,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,3145728,0.754648,4.10
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,8,0,16,16,1,128,128,1,20,100,10,0.084688,0.001092,2048,2048,0,256,16384,0,33554432,0.000000,33554432,0,coalesced_rw,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,1.984919,23.44
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,10,0,256,1,1,4096,1,1,20,100,10,0.018310,0.000067,1048576,1,0,256,4096,0,12582912,0.000000,12582912,0,gather_scatter,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,0.744345,40.65
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,10,1024,256,1,1,4096,1,1,20,100,10,0.015491,0.000020,1048576,1,0,256,4096,1048576,4202496,0.249513,4194304,0,shared_reduction,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,4202496,0.248599,16.05
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,12,0,256,1,1,4096,1,1,20,100,10,0.025769,0.000880,1048576,1,0,256,4096,2097152,12582912,0.166667,12582912,0,coalesced,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,0.744345,28.89
shared_bank_conflict,--rows 1 --cols 1 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,206,4096,1024,1,1,1,1,1,20,100,10,0.001458,0.000056,1,1,0,1024,1,1024,0,inf,0,4096,shared_only,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,0,0.000003,0.00
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,10,4224,32,32,1,64,64,1,20,100,10,0.072037,0.001138,2048,2048,0,1024,4096,0,33554432,0.000000,33554432,4096,coalesced_rw_shared,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,1.984919,27.55
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,8,0,256,1,1,4096,1,1,20,100,10,0.021522,0.000083,1048576,1,0,256,4096,0,1048576,0.000000,1048576,0,stride_8,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,1048576,0.062029,2.88
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,12,0,256,1,1,4096,1,1,20,100,10,0.025702,0.000867,1048576,1,0,256,4096,1048576,12582912,0.083333,12582912,0,coalesced,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,0.744345,28.96
vector_add_divergent,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,NVIDIA GeForce RTX 2080 Ti,15,0,256,1,1,4096,1,1,20,100,10,0.096771,0.002195,1048576,1,0,256,4096,1048576,12582912,0.083333,12582912,0,divergent,NVIDIA GeForce RTX 2080 Ti,7.5,68,32,1024,16,65536,65536,11382.7,540.95,11382.7,540.95,5767168,11534336,0.744345,7.69
